,Buchungstag,Betrag,Kategorie
0,2019-06-28,3.0,Dienstleistungen & Gebühren
1,2019-06-28,8.15,Nahrung & Verbrauchsartikel
2,2019-06-28,11.73,Nahrung & Verbrauchsartikel
3,2019-06-28,31.65,Nahrung & Verbrauchsartikel
4,2019-06-27,11.44,Nahrung & Verbrauchsartikel
5,2019-06-26,13.38,Nahrung & Verbrauchsartikel
6,2019-06-26,26.77,Nahrung & Verbrauchsartikel
7,2019-06-24,260.0,Miete & laufende Verträge
8,2019-06-21,4.5,Transport
9,2019-06-21,4.5,Transport
10,2019-06-21,52.3,Transport
11,2019-06-19,5.35,Nahrung & Verbrauchsartikel
12,2019-06-19,9.75,Nahrung & Verbrauchsartikel
13,2019-06-19,51.3,Transport
14,2019-06-18,1.89,Nahrung & Verbrauchsartikel
15,2019-06-18,17.89,Kleidung & Accessoires
16,2019-06-18,6.94,Nahrung & Verbrauchsartikel
17,2019-06-18,3.29,Technik
18,2019-06-18,19.0,Unterhaltung
19,2019-06-18,7.12,Nahrung & Verbrauchsartikel
20,2019-06-18,25.79,Technik
21,2019-06-18,34.36,Technik
22,2019-06-17,200.0,Unbekannt & Bargeld
23,2019-06-17,5.99,Technik
24,2019-06-17,48.0,Transport
25,2019-06-14,27.76,Miete & laufende Verträge
26,2019-06-14,9.15,Nahrung & Verbrauchsartikel
27,2019-06-13,10.0,Miete & laufende Verträge
28,2019-06-12,5.7,Nahrung & Verbrauchsartikel
29,2019-06-12,12.14,Nahrung & Verbrauchsartikel
30,2019-06-11,10.0,Miete & laufende Verträge
31,2019-06-11,0.8,Nahrung & Verbrauchsartikel
32,2019-06-11,2.77,Transport
33,2019-06-11,12.99,Transport
34,2019-06-11,3.6,Transport
35,2019-06-11,33.0,Miete & laufende Verträge
36,2019-06-07,48.9,Unterhaltung
37,2019-06-06,147.0,Transport
38,2019-06-04,14.74,Nahrung & Verbrauchsartikel
39,2019-06-04,44.89,Miete & laufende Verträge
40,2019-06-04,6.02,Nahrung & Verbrauchsartikel
41,2019-06-04,13.0,Kleidung & Accessoires
42,2019-06-04,7.99,Nahrung & Verbrauchsartikel
